za 4 apr 2020 22:45:02 CEST , 11 Beschikbaar , 4 Bellers , 9 Chatters , 8 Bezet , 75 Offline
za 4 apr 2020 23:00:02 CEST , 9 Beschikbaar , 5 Bellers , 7 Chatters , 9 Bezet , 76 Offline
za 4 apr 2020 23:15:01 CEST , 8 Beschikbaar , 4 Bellers , 6 Chatters , 7 Bezet , 79 Offline
za 4 apr 2020 23:30:02 CEST , 7 Beschikbaar , 4 Bellers , 5 Chatters , 5 Bezet , 82 Offline
za 4 apr 2020 23:45:02 CEST , 5 Beschikbaar , 3 Bellers , 4 Chatters , 5 Bezet , 84 Offline
zo 5 apr 2020 0:00:01 CEST , 3 Beschikbaar , 2 Bellers , 2 Chatters , 7 Bezet , 84 Offline
zo 5 apr 2020 0:15:01 CEST , 4 Beschikbaar , 2 Bellers , 3 Chatters , 7 Bezet , 83 Offline
zo 5 apr 2020 0:30:02 CEST , 5 Beschikbaar , 2 Bellers , 5 Chatters , 4 Bezet , 85 Offline
zo 5 apr 2020 0:45:01 CEST , 4 Beschikbaar , 2 Bellers , 4 Chatters , 2 Bezet , 88 Offline
zo 5 apr 2020 1:00:02 CEST , 2 Beschikbaar , 1 Bellers , 2 Chatters , 4 Bezet , 88 Offline
zo 5 apr 2020 1:15:02 CEST , 1 Beschikbaar , 1 Bellers , 1 Chatters , 5 Bezet , 88 Offline
zo 5 apr 2020 1:30:01 CEST , 3 Beschikbaar , 2 Bellers , 3 Chatters , 3 Bezet , 88 Offline
zo 5 apr 2020 1:45:02 CEST , 2 Beschikbaar , 2 Bellers , 2 Chatters , 4 Bezet , 88 Offline
zo 5 apr 2020 2:00:02 CEST , 3 Beschikbaar , 2 Bellers , 3 Chatters , 3 Bezet , 88 Offline
zo 5 apr 2020 2:15:01 CEST , 2 Beschikbaar , 1 Bellers , 2 Chatters , 3 Bezet , 89 Offline
zo 5 apr 2020 8:45:01 CEST , 11 Beschikbaar , 3 Bellers , 9 Chatters , 3 Bezet , 80 Offline
zo 5 apr 2020 9:00:02 CEST , 13 Beschikbaar , 4 Bellers , 10 Chatters , 5 Bezet , 76 Offline
zo 5 apr 2020 9:15:03 CEST , 12 Beschikbaar , 5 Bellers , 9 Chatters , 5 Bezet , 77 Offline
zo 5 apr 2020 9:30:01 CEST , 10 Beschikbaar , 5 Bellers , 7 Chatters , 6 Bezet , 78 Offline
zo 5 apr 2020 9:45:02 CEST , 10 Beschikbaar , 5 Bellers , 8 Chatters , 7 Bezet , 77 Offline
zo 5 apr 2020 10:00:02 CEST , 11 Beschikbaar , 6 Bellers , 7 Chatters , 5 Bezet , 78 Offline
zo 5 apr 2020 10:15:01 CEST , 11 Beschikbaar , 4 Bellers , 9 Chatters , 4 Bezet , 79 Offline
zo 5 apr 2020 10:30:02 CEST , 10 Beschikbaar , 4 Bellers , 7 Chatters , 5 Bezet , 79 Offline
