za 12 okt 2019 18:30:02 CEST , 13 Beschikbaar , 4 Bellers , 6 Chatters , 3 Beiden , 4 Bezet , 88 Offline
za 12 okt 2019 18:45:02 CEST , 11 Beschikbaar , 2 Bellers , 4 Chatters , 5 Beiden , 6 Bezet , 88 Offline
za 12 okt 2019 19:00:02 CEST , 12 Beschikbaar , 4 Bellers , 5 Chatters , 3 Beiden , 8 Bezet , 85 Offline
za 12 okt 2019 19:15:01 CEST , 12 Beschikbaar , 3 Bellers , 5 Chatters , 4 Beiden , 7 Bezet , 86 Offline
za 12 okt 2019 19:30:02 CEST , 12 Beschikbaar , 4 Bellers , 5 Chatters , 3 Beiden , 7 Bezet , 86 Offline
za 12 okt 2019 19:45:01 CEST , 11 Beschikbaar , 5 Bellers , 3 Chatters , 3 Beiden , 8 Bezet , 86 Offline
za 12 okt 2019 20:00:02 CEST , 11 Beschikbaar , 6 Bellers , 4 Chatters , 1 Beiden , 7 Bezet , 87 Offline
za 12 okt 2019 20:15:01 CEST , 12 Beschikbaar , 6 Bellers , 6 Chatters , 0 Beiden , 7 Bezet , 86 Offline
za 12 okt 2019 20:30:02 CEST , 18 Beschikbaar , 5 Bellers , 9 Chatters , 4 Beiden , 5 Bezet , 82 Offline
za 12 okt 2019 20:45:01 CEST , 15 Beschikbaar , 5 Bellers , 7 Chatters , 3 Beiden , 8 Bezet , 82 Offline
za 12 okt 2019 21:00:02 CEST , 15 Beschikbaar , 5 Bellers , 8 Chatters , 2 Beiden , 5 Bezet , 85 Offline
za 12 okt 2019 21:15:01 CEST , 12 Beschikbaar , 5 Bellers , 7 Chatters , 0 Beiden , 8 Bezet , 85 Offline
za 12 okt 2019 21:30:02 CEST , 9 Beschikbaar , 4 Bellers , 4 Chatters , 1 Beiden , 7 Bezet , 89 Offline
za 12 okt 2019 21:45:01 CEST , 11 Beschikbaar , 4 Bellers , 6 Chatters , 1 Beiden , 7 Bezet , 87 Offline
za 12 okt 2019 22:00:02 CEST , 8 Beschikbaar , 3 Bellers , 4 Chatters , 1 Beiden , 6 Bezet , 91 Offline
za 12 okt 2019 22:15:01 CEST , 10 Beschikbaar , 3 Bellers , 6 Chatters , 1 Beiden , 5 Bezet , 90 Offline
za 12 okt 2019 22:30:02 CEST , 9 Beschikbaar , 3 Bellers , 6 Chatters , 0 Beiden , 5 Bezet , 91 Offline
za 12 okt 2019 22:45:02 CEST , 7 Beschikbaar , 3 Bellers , 4 Chatters , 0 Beiden , 5 Bezet , 93 Offline
za 12 okt 2019 23:00:02 CEST , 5 Beschikbaar , 3 Bellers , 2 Chatters , 0 Beiden , 6 Bezet , 94 Offline
za 12 okt 2019 23:15:02 CEST , 6 Beschikbaar , 1 Bellers , 5 Chatters , 0 Beiden , 5 Bezet , 94 Offline
za 12 okt 2019 23:30:01 CEST , 6 Beschikbaar , 2 Bellers , 4 Chatters , 0 Beiden , 4 Bezet , 95 Offline
za 12 okt 2019 23:45:02 CEST , 6 Beschikbaar , 2 Bellers , 4 Chatters , 0 Beiden , 4 Bezet , 95 Offline
zo 13 okt 2019 0:00:01 CEST , 6 Beschikbaar , 1 Bellers , 4 Chatters , 1 Beiden , 4 Bezet , 95 Offline
zo 13 okt 2019 0:15:02 CEST , 4 Beschikbaar , 1 Bellers , 2 Chatters , 1 Beiden , 4 Bezet , 97 Offline
zo 13 okt 2019 0:30:01 CEST , 3 Beschikbaar , 1 Bellers , 1 Chatters , 1 Beiden , 4 Bezet , 98 Offline
zo 13 okt 2019 0:45:02 CEST , 5 Beschikbaar , 2 Bellers , 2 Chatters , 1 Beiden , 2 Bezet , 98 Offline
zo 13 okt 2019 1:00:01 CEST , 1 Beschikbaar , 1 Bellers , 0 Chatters , 0 Beiden , 4 Bezet , 100 Offline
zo 13 okt 2019 1:15:02 CEST , 1 Beschikbaar , 1 Bellers , 0 Chatters , 0 Beiden , 3 Bezet , 101 Offline
zo 13 okt 2019 1:30:02 CEST , 1 Beschikbaar , 1 Bellers , 0 Chatters , 0 Beiden , 2 Bezet , 102 Offline
zo 13 okt 2019 1:45:02 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 2 Bezet , 101 Offline
zo 13 okt 2019 2:00:01 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 0 Bezet , 103 Offline
zo 13 okt 2019 2:15:02 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 0 Bezet , 103 Offline
zo 13 okt 2019 2:30:01 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 0 Bezet , 103 Offline
zo 13 okt 2019 2:45:02 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 0 Bezet , 103 Offline
zo 13 okt 2019 3:00:01 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 0 Bezet , 103 Offline
zo 13 okt 2019 3:15:06 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 0 Bezet , 103 Offline
zo 13 okt 2019 3:30:02 CEST , 1 Beschikbaar , 1 Bellers , 0 Chatters , 0 Beiden , 2 Bezet , 102 Offline
zo 13 okt 2019 3:45:02 CEST , 1 Beschikbaar , 1 Bellers , 0 Chatters , 0 Beiden , 2 Bezet , 102 Offline
zo 13 okt 2019 4:00:01 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 1 Bezet , 102 Offline
zo 13 okt 2019 4:15:01 CEST , 3 Beschikbaar , 1 Bellers , 2 Chatters , 0 Beiden , 0 Bezet , 102 Offline
zo 13 okt 2019 4:30:02 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 1 Bezet , 102 Offline
zo 13 okt 2019 4:45:02 CEST , 3 Beschikbaar , 1 Bellers , 2 Chatters , 0 Beiden , 0 Bezet , 102 Offline
zo 13 okt 2019 5:00:01 CEST , 3 Beschikbaar , 1 Bellers , 2 Chatters , 0 Beiden , 0 Bezet , 102 Offline
zo 13 okt 2019 5:15:02 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 0 Bezet , 103 Offline
zo 13 okt 2019 5:30:01 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 0 Bezet , 103 Offline
zo 13 okt 2019 5:45:02 CEST , 3 Beschikbaar , 1 Bellers , 2 Chatters , 0 Beiden , 0 Bezet , 102 Offline
zo 13 okt 2019 6:00:01 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 0 Bezet , 103 Offline
zo 13 okt 2019 6:15:02 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 0 Bezet , 103 Offline
zo 13 okt 2019 6:30:01 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 0 Bezet , 103 Offline
zo 13 okt 2019 6:45:02 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 0 Beiden , 0 Bezet , 103 Offline
zo 13 okt 2019 7:00:01 CEST , 3 Beschikbaar , 1 Bellers , 2 Chatters , 0 Beiden , 0 Bezet , 102 Offline
zo 13 okt 2019 7:15:02 CEST , 3 Beschikbaar , 1 Bellers , 2 Chatters , 0 Beiden , 0 Bezet , 102 Offline
zo 13 okt 2019 7:30:01 CEST , 3 Beschikbaar , 1 Bellers , 2 Chatters , 0 Beiden , 0 Bezet , 102 Offline
zo 13 okt 2019 7:45:02 CEST , 3 Beschikbaar , 1 Bellers , 2 Chatters , 0 Beiden , 1 Bezet , 101 Offline
zo 13 okt 2019 8:00:01 CEST , 3 Beschikbaar , 1 Bellers , 2 Chatters , 0 Beiden , 3 Bezet , 99 Offline
zo 13 okt 2019 8:15:02 CEST , 6 Beschikbaar , 2 Bellers , 2 Chatters , 2 Beiden , 0 Bezet , 99 Offline
zo 13 okt 2019 8:30:01 CEST , 9 Beschikbaar , 3 Bellers , 5 Chatters , 1 Beiden , 1 Bezet , 95 Offline
zo 13 okt 2019 8:45:02 CEST , 12 Beschikbaar , 3 Bellers , 8 Chatters , 1 Beiden , 1 Bezet , 92 Offline
zo 13 okt 2019 9:00:01 CEST , 11 Beschikbaar , 2 Bellers , 9 Chatters , 0 Beiden , 3 Bezet , 91 Offline
zo 13 okt 2019 9:15:02 CEST , 9 Beschikbaar , 2 Bellers , 6 Chatters , 1 Beiden , 3 Bezet , 93 Offline
zo 13 okt 2019 9:30:01 CEST , 11 Beschikbaar , 3 Bellers , 6 Chatters , 2 Beiden , 3 Bezet , 91 Offline
zo 13 okt 2019 9:45:02 CEST , 9 Beschikbaar , 3 Bellers , 5 Chatters , 1 Beiden , 5 Bezet , 91 Offline
zo 13 okt 2019 10:00:01 CEST , 11 Beschikbaar , 2 Bellers , 6 Chatters , 3 Beiden , 3 Bezet , 91 Offline
zo 13 okt 2019 10:15:02 CEST , 11 Beschikbaar , 4 Bellers , 4 Chatters , 3 Beiden , 2 Bezet , 92 Offline
zo 13 okt 2019 10:30:01 CEST , 10 Beschikbaar , 4 Bellers , 4 Chatters , 2 Beiden , 4 Bezet , 91 Offline
zo 13 okt 2019 10:45:02 CEST , 11 Beschikbaar , 5 Bellers , 3 Chatters , 3 Beiden , 4 Bezet , 90 Offline
zo 13 okt 2019 11:00:01 CEST , 8 Beschikbaar , 3 Bellers , 4 Chatters , 1 Beiden , 8 Bezet , 89 Offline
zo 13 okt 2019 11:15:02 CEST , 11 Beschikbaar , 5 Bellers , 4 Chatters , 2 Beiden , 6 Bezet , 88 Offline
zo 13 okt 2019 11:30:01 CEST , 10 Beschikbaar , 3 Bellers , 5 Chatters , 2 Beiden , 7 Bezet , 88 Offline
zo 13 okt 2019 11:45:02 CEST , 12 Beschikbaar , 4 Bellers , 6 Chatters , 2 Beiden , 8 Bezet , 85 Offline
zo 13 okt 2019 12:00:02 CEST , 8 Beschikbaar , 3 Bellers , 3 Chatters , 2 Beiden , 9 Bezet , 88 Offline
zo 13 okt 2019 12:15:02 CEST , 11 Beschikbaar , 3 Bellers , 4 Chatters , 4 Beiden , 7 Bezet , 87 Offline
zo 13 okt 2019 12:30:02 CEST , 10 Beschikbaar , 3 Bellers , 4 Chatters , 3 Beiden , 6 Bezet , 89 Offline
zo 13 okt 2019 12:45:01 CEST , 6 Beschikbaar , 3 Bellers , 2 Chatters , 1 Beiden , 10 Bezet , 89 Offline
zo 13 okt 2019 13:00:02 CEST , 11 Beschikbaar , 4 Bellers , 5 Chatters , 2 Beiden , 6 Bezet , 88 Offline
zo 13 okt 2019 13:15:01 CEST , 8 Beschikbaar , 2 Bellers , 4 Chatters , 2 Beiden , 7 Bezet , 90 Offline
zo 13 okt 2019 13:30:02 CEST , 9 Beschikbaar , 2 Bellers , 4 Chatters , 3 Beiden , 6 Bezet , 90 Offline
